Coordinates:  (0.000000 , 0.000000)  (7.000000 , 4.000000)  (1.000000 , 8.000000)  Lengths:  (8.062258 , 8.062258)  (7.211103 , 7.211103)  (8.062258 , 8.062258)  Permieter: 23.335618 Area: 26.000000 numDots: 25
Coordinates:  (0.000000 , 0.000000)  (7.000000 , 3.000000)  (1.000000 , 8.000000)  Lengths:  (7.615773 , 7.615773)  (7.810250 , 7.810250)  (8.062258 , 8.062258)  Permieter: 23.488281 Area: 26.500000 numDots: 26
Coordinates:  (0.000000 , 0.000000)  (7.000000 , 1.000000)  (1.000000 , 8.000000)  Lengths:  (7.071068 , 7.071068)  (9.219544 , 9.219544)  (8.062258 , 8.062258)  Permieter: 24.352870 Area: 27.500000 numDots: 27
Coordinates:  (0.000000 , 0.000000)  (8.000000 , 2.000000)  (3.000000 , 8.000000)  Lengths:  (8.246211 , 8.246211)  (7.810250 , 7.810250)  (8.544004 , 8.544004)  Permieter: 24.600465 Area: 29.000000 numDots: 28
Coordinates:  (0.000000 , 0.000000)  (7.000000 , 4.000000)  (1.000000 , 9.000000)  Lengths:  (8.062258 , 8.062258)  (7.810250 , 7.810250)  (9.055385 , 9.055385)  Permieter: 24.927893 Area: 29.500000 numDots: 29
Coordinates:  (0.000000 , 0.000000)  (8.000000 , 1.000000)  (3.000000 , 8.000000)  Lengths:  (8.062258 , 8.062258)  (8.602325 , 8.602325)  (8.544004 , 8.544004)  Permieter: 25.208587 Area: 30.500000 numDots: 30
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 4.000000)  (2.000000 , 8.000000)  Lengths:  (9.848858 , 9.848858)  (8.062258 , 8.062258)  (8.246211 , 8.246211)  Permieter: 26.157327 Area: 32.000000 numDots: 31
Coordinates:  (0.000000 , 0.000000)  (8.000000 , 4.000000)  (1.000000 , 9.000000)  Lengths:  (8.944272 , 8.944272)  (8.602325 , 8.602325)  (9.055385 , 9.055385)  Permieter: 26.601982 Area: 34.000000 numDots: 32
Coordinates:  (0.000000 , 0.000000)  (8.000000 , 5.000000)  (1.000000 , 9.000000)  Lengths:  (9.433981 , 9.433981)  (8.062258 , 8.062258)  (9.055385 , 9.055385)  Permieter: 26.551624 Area: 33.500000 numDots: 33
Coordinates:  (0.000000 , 0.000000)  (8.000000 , 3.000000)  (1.000000 , 9.000000)  Lengths:  (8.544004 , 8.544004)  (9.219544 , 9.219544)  (9.055385 , 9.055385)  Permieter: 26.818933 Area: 34.500000 numDots: 34
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 2.000000)  (5.000000 , 9.000000)  Lengths:  (9.219544 , 9.219544)  (8.062258 , 8.062258)  (10.295630 , 10.295630)  Permieter: 27.577432 Area: 35.500000 numDots: 35
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 2.000000)  (4.000000 , 9.000000)  Lengths:  (9.219544 , 9.219544)  (8.602325 , 8.602325)  (9.848858 , 9.848858)  Permieter: 27.670728 Area: 36.500000 numDots: 36
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 1.000000)  (3.000000 , 9.000000)  Lengths:  (9.055385 , 9.055385)  (10.000000 , 10.000000)  (9.486833 , 9.486833)  Permieter: 28.542218 Area: 39.000000 numDots: 37
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 1.000000)  (4.000000 , 9.000000)  Lengths:  (9.055385 , 9.055385)  (9.433981 , 9.433981)  (9.848858 , 9.848858)  Permieter: 28.338224 Area: 38.500000 numDots: 38
Coordinates:  (0.000000 , 0.000000)  (9.000000 , 1.000000)  (2.000000 , 9.000000)  Lengths:  (9.055385 , 9.055385)  (10.630146 , 10.630146)  (9.219544 , 9.219544)  Permieter: 28.905075 Area: 39.500000 numDots: 39
PROGRAM FINISHED IN 0 MINUTES
2965 TRIANGLES INDEXED
